series,timestamp,value,label
s1,2023-01-22T14:00:21Z,954,
s1,2023-01-22T14:00:22Z,952,
s1,2023-01-22T14:00:23Z,950,
s1,2023-01-22T14:00:24Z,948,
s1,2023-01-22T14:00:25Z,947,
s1,2023-01-22T14:00:26Z,946,
s1,2023-01-22T14:00:27Z,945,
s1,2023-01-22T14:00:28Z,944,
s1,2023-01-22T14:00:29Z,943,
s1,2023-01-22T14:00:30Z,942,
s1,2023-01-22T14:00:31Z,941,
s1,2023-01-22T14:00:32Z,941,
s1,2023-01-22T14:00:33Z,941,
s1,2023-01-22T14:00:34Z,941,
s1,2023-01-22T14:00:35Z,941,
s1,2023-01-22T14:00:36Z,941,
s1,2023-01-22T14:00:37Z,941,
s1,2023-01-22T14:00:38Z,940,
s1,2023-01-22T14:00:39Z,940,
s1,2023-01-22T14:00:40Z,940,
s1,2023-01-22T14:00:41Z,940,
s1,2023-01-22T14:00:42Z,939,
s1,2023-01-22T14:00:43Z,939,
s1,2023-01-22T14:00:44Z,939,
s1,2023-01-22T14:00:45Z,939,
s1,2023-01-22T14:00:46Z,939,
s1,2023-01-22T14:00:47Z,939,
s1,2023-01-22T14:00:48Z,939,
s1,2023-01-22T14:00:49Z,939,
s1,2023-01-22T14:00:50Z,939,
s1,2023-01-22T14:00:51Z,939,
s1,2023-01-22T14:00:52Z,939,
s1,2023-01-22T14:00:53Z,939,
s1,2023-01-22T14:00:54Z,939,
s1,2023-01-22T14:00:55Z,939,
s1,2023-01-22T14:00:56Z,939,
s1,2023-01-22T14:00:57Z,938,
s1,2023-01-22T14:00:58Z,938,
s1,2023-01-22T14:00:59Z,938,
s1,2023-01-22T14:01:00Z,938,
s1,2023-01-22T14:01:01Z,938,
s1,2023-01-22T14:01:02Z,938,
s1,2023-01-22T14:01:03Z,938,
s1,2023-01-22T14:01:04Z,939,
s1,2023-01-22T14:01:05Z,938,
s1,2023-01-22T14:01:06Z,938,
s1,2023-01-22T14:01:07Z,938,
s1,2023-01-22T14:01:08Z,938,
s1,2023-01-22T14:01:09Z,938,
s1,2023-01-22T14:01:10Z,938,
s1,2023-01-22T14:01:11Z,938,
s1,2023-01-22T14:01:12Z,938,
s1,2023-01-22T14:01:13Z,938,
s1,2023-01-22T14:01:14Z,938,
s1,2023-01-22T14:01:15Z,938,
s1,2023-01-22T14:01:16Z,937,
s1,2023-01-22T14:01:17Z,937,
s1,2023-01-22T14:01:18Z,938,
s1,2023-01-22T14:01:19Z,938,
s1,2023-01-22T14:01:20Z,938,
s1,2023-01-22T14:01:21Z,938,
s1,2023-01-22T14:01:22Z,937,
s1,2023-01-22T14:01:23Z,937,
s1,2023-01-22T14:01:24Z,937,
s1,2023-01-22T14:01:25Z,936,
s1,2023-01-22T14:01:26Z,936,
s1,2023-01-22T14:01:27Z,936,
s1,2023-01-22T14:01:28Z,936,
s1,2023-01-22T14:01:29Z,936,
s1,2023-01-22T14:01:30Z,936,
s1,2023-01-22T14:01:31Z,936,
s1,2023-01-22T14:01:32Z,936,
s1,2023-01-22T14:01:33Z,936,
s1,2023-01-22T14:01:34Z,936,
s1,2023-01-22T14:01:35Z,936,
s1,2023-01-22T14:01:36Z,936,
s1,2023-01-22T14:01:37Z,936,
s1,2023-01-22T14:01:38Z,936,
s1,2023-01-22T14:01:39Z,936,
s1,2023-01-22T14:01:40Z,936,
s1,2023-01-22T14:01:41Z,936,
s1,2023-01-22T14:01:42Z,936,
s1,2023-01-22T14:01:43Z,936,
s1,2023-01-22T14:01:44Z,936,
s1,2023-01-22T14:01:45Z,936,
s1,2023-01-22T14:01:46Z,936,
s1,2023-01-22T14:01:47Z,936,
s1,2023-01-22T14:01:48Z,936,
s1,2023-01-22T14:01:49Z,936,
s1,2023-01-22T14:01:50Z,937,
s1,2023-01-22T14:01:51Z,938,
s1,2023-01-22T14:01:52Z,939,
s1,2023-01-22T14:01:53Z,941,
s1,2023-01-22T14:01:54Z,944,
s1,2023-01-22T14:01:55Z,947,
s1,2023-01-22T14:01:56Z,949,
s1,2023-01-22T14:01:57Z,952,
s1,2023-01-22T14:01:58Z,954,
s1,2023-01-22T14:01:59Z,956,
s1,2023-01-22T14:02:00Z,958,
s1,2023-01-22T14:02:01Z,960,
s1,2023-01-22T14:02:02Z,961,
s1,2023-01-22T14:02:03Z,962,
s1,2023-01-22T14:02:04Z,963,
s1,2023-01-22T14:02:05Z,964,
s1,2023-01-22T14:02:06Z,966,
s1,2023-01-22T14:02:07Z,966,
s1,2023-01-22T14:02:08Z,967,
s1,2023-01-22T14:02:09Z,967,
s1,2023-01-22T14:02:10Z,968,
s1,2023-01-22T14:02:11Z,969,
s1,2023-01-22T14:02:12Z,969,
s1,2023-01-22T14:02:13Z,970,
s1,2023-01-22T14:02:14Z,970,
s1,2023-01-22T14:02:15Z,970,
s1,2023-01-22T14:02:16Z,971,
s1,2023-01-22T14:02:17Z,971,
s1,2023-01-22T14:02:18Z,972,
s1,2023-01-22T14:02:19Z,973,
s1,2023-01-22T14:02:20Z,973,
s1,2023-01-22T14:02:21Z,973,
s1,2023-01-22T14:02:22Z,973,
s1,2023-01-22T14:02:23Z,973,
s1,2023-01-22T14:02:24Z,973,
s1,2023-01-22T14:02:25Z,974,
s1,2023-01-22T14:02:26Z,974,
s1,2023-01-22T14:02:27Z,974,
s1,2023-01-22T14:02:28Z,974,
s1,2023-01-22T14:02:29Z,975,
s1,2023-01-22T14:02:30Z,976,
s1,2023-01-22T14:02:31Z,976,
s1,2023-01-22T14:02:32Z,977,
s1,2023-01-22T14:02:33Z,976,
s1,2023-01-22T14:02:34Z,976,
s1,2023-01-22T14:02:35Z,976,
s1,2023-01-22T14:02:36Z,977,
s1,2023-01-22T14:02:37Z,977,
s1,2023-01-22T14:02:38Z,977,
s1,2023-01-22T14:02:39Z,977,
s1,2023-01-22T14:02:40Z,977,
s1,2023-01-22T14:02:41Z,977,
s1,2023-01-22T14:02:42Z,977,
s1,2023-01-22T14:02:43Z,977,
s1,2023-01-22T14:02:44Z,977,
s1,2023-01-22T14:02:45Z,977,
s1,2023-01-22T14:02:46Z,977,
s1,2023-01-22T14:02:47Z,977,
s1,2023-01-22T14:02:48Z,977,
s1,2023-01-22T14:02:49Z,977,
s1,2023-01-22T14:02:50Z,977,
s1,2023-01-22T14:02:51Z,977,
s1,2023-01-22T14:02:52Z,977,
s1,2023-01-22T14:02:53Z,977,
s1,2023-01-22T14:02:54Z,977,
s1,2023-01-22T14:02:55Z,977,
s1,2023-01-22T14:02:56Z,977,
s1,2023-01-22T14:02:57Z,978,
s1,2023-01-22T14:02:58Z,978,
s1,2023-01-22T14:02:59Z,979,
s1,2023-01-22T14:03:00Z,979,
s1,2023-01-22T14:03:01Z,979,
s1,2023-01-22T14:03:02Z,979,
s1,2023-01-22T14:03:03Z,979,
s1,2023-01-22T14:03:04Z,979,
s1,2023-01-22T14:03:05Z,979,
s1,2023-01-22T14:03:06Z,979,
s1,2023-01-22T14:03:07Z,979,
s1,2023-01-22T14:03:08Z,979,
s1,2023-01-22T14:03:09Z,979,
s1,2023-01-22T14:03:10Z,979,
s1,2023-01-22T14:03:11Z,979,
s1,2023-01-22T14:03:12Z,979,
s1,2023-01-22T14:03:13Z,979,
s1,2023-01-22T14:03:14Z,979,
s1,2023-01-22T14:03:15Z,979,
s1,2023-01-22T14:03:16Z,980,
s1,2023-01-22T14:03:17Z,981,
s1,2023-01-22T14:03:18Z,981,
s1,2023-01-22T14:03:19Z,981,
s1,2023-01-22T14:03:20Z,981,
s1,2023-01-22T14:03:21Z,981,
s1,2023-01-22T14:03:22Z,982,
s1,2023-01-22T14:03:23Z,980,
s1,2023-01-22T14:03:24Z,978,
s1,2023-01-22T14:03:25Z,975,
s1,2023-01-22T14:03:26Z,972,
s1,2023-01-22T14:03:27Z,970,
s1,2023-01-22T14:03:28Z,969,
s1,2023-01-22T14:03:29Z,968,
s1,2023-01-22T14:03:30Z,967,
s1,2023-01-22T14:03:31Z,966,
s1,2023-01-22T14:03:32Z,965,
s1,2023-01-22T14:03:33Z,964,
s1,2023-01-22T14:03:34Z,962,
s1,2023-01-22T14:03:35Z,961,
s1,2023-01-22T14:03:36Z,960,
s1,2023-01-22T14:03:37Z,959,
s1,2023-01-22T14:03:38Z,958,
s1,2023-01-22T14:03:39Z,957,
s1,2023-01-22T14:03:40Z,956,
